Day of the week,Time of day,Amenity type,Distance to amenity,User rating of parking,Handicap accessible,Price
2,1668,10,1660,1.534016056929567,0,16.0
4,1135,8,2124,4.907998837074427,1,31.0
3,1489,7,448,2.41913297417424,0,26.0
7,1603,4,816,1.6526146707887959,0,20.0
3,1402,10,1055,1.2929918053789455,0,17.0
1,1698,10,561,2.051944215864021,1,24.0
3,1181,4,876,1.8097106723567302,0,20.0
4,1509,2,1832,3.208643788849686,0,24.0
5,1972,10,3981,4.337457145839265,0,26.0
1,892,3,1651,4.557176739166133,1,31.0
5,1915,1,1838,4.98968052021103,0,32.0
1,1458,10,2994,3.110121417596128,1,21.0
1,1259,2,735,1.0515599348603009,0,17.0
4,1650,6,2494,3.15455618847959,0,22.0
3,980,3,219,1.6349095287309585,1,25.0
1,1496,8,1499,3.498974599479684,1,26.0
1,925,6,4090,4.0658666460561115,0,25.0
1,1465,2,620,4.0596749881902765,1,33.0
3,1465,10,3525,3.0913441681976703,1,20.0
7,1572,10,2227,4.2655670753323,1,28.0
1,1227,5,1839,1.00691708942262,1,13.0
5,957,3,2705,3.835264251571951,1,25.0
4,1244,6,3534,3.386289081913717,0,22.0
3,1343,2,246,1.5100119368444131,0,24.0
7,1932,3,903,1.8108010183250358,1,20.0
1,1756,1,3022,2.4151478882316066,1,18.0
7,1615,3,3702,3.4433822881600005,1,22.0
2,968,4,580,4.217433231851095,1,34.0
5,1473,4,3717,2.0336401032808586,0,15.0
3,1189,7,2086,1.968432739353231,0,17.0
5,1301,6,1181,3.0948947606910666,0,25.0
5,1577,1,2077,2.096280430749688,1,17.0
3,813,4,4922,3.383988802263819,1,21.0
3,924,7,2797,4.879107945174681,0,30.0
1,1651,2,3481,3.3038075578869934,0,21.0
7,1464,5,4475,1.6596970915401088,0,12.0
3,1672,6,2711,4.966264700284482,1,31.0
6,1131,7,3945,1.4219722551503056,0,12.0
2,911,2,3153,4.282420648400997,0,27.0
4,1546,6,1541,2.4259087570226545,0,21.0
7,1364,8,4914,3.1349278763320534,1,20.0
3,1451,6,3206,2.16012428413345,0,16.0
5,1313,8,2731,3.8018189230359907,1,25.0
7,1046,4,1183,2.2667165775693605,1,21.0
2,1983,2,4406,2.0834596645649754,0,15.0
1,1637,4,3868,1.8951640336553224,0,14.0
3,1240,3,2993,2.1409071894603064,1,16.0
1,1300,3,933,4.950796391260932,0,36.0
5,1489,8,4241,4.789675305899889,0,28.0
7,1716,7,4026,1.7626542975549842,0,13.0
7,1182,5,2982,4.394737887756069,1,27.0
5,1692,6,4498,3.3866891696370063,0,21.0
3,1669,8,432,1.3845074925035301,0,21.0
3,1845,7,3287,4.90601713868584,0,30.0
1,1153,8,2814,2.32893685926278,0,17.0
6,868,5,1290,4.82374941747113,1,33.0
2,1727,3,1863,3.095855609381087,1,23.0
3,1088,8,846,3.4735381866267003,1,29.0
5,1695,6,3332,4.6140889090592925,0,28.0
7,1554,8,3918,4.697308228981721,1,28.0
6,1239,6,3969,1.600390648479411,0,13.0
2,1173,10,1722,2.257602003868214,0,19.0
2,1106,4,2299,4.387366450382098,0,28.0
7,1908,3,1311,3.718011114447824,0,28.0
1,1384,3,4455,4.2626224211366415,1,25.0
5,1015,6,388,3.5396164870049933,1,33.0
2,1950,7,4777,1.3939021553108493,0,11.0
5,861,10,1447,1.2693410144658186,0,15.0
6,1702,6,1837,4.7021969773339425,0,31.0
4,1353,4,3884,4.854990218574237,1,29.0
3,1050,4,207,3.143590839574723,1,33.0
5,1252,7,1893,4.464387094408538,1,30.0
2,1476,1,4901,1.9820723251918766,0,14.0
2,1502,5,1726,3.4591483417928925,1,25.0
4,1903,1,1591,2.864337230253824,0,23.0
4,901,5,4168,1.9363700351368882,1,14.0
3,1737,9,1606,1.0570908785734616,1,13.0
2,1008,3,3571,1.2280860998919292,0,11.0
6,994,6,1619,3.1985952520656995,1,24.0
4,1717,3,866,2.103412319129558,1,22.0
5,1149,2,915,3.998961467346332,1,31.0
3,1169,1,2724,4.807213672882053,1,30.0
6,1540,4,3065,4.040202098667162,1,26.0
6,1618,6,2390,3.148982789523433,1,22.0
1,1049,4,3824,4.576292918985833,0,28.0
3,1209,8,144,4.833826793834417,0,42.0
7,1183,2,3629,1.7873673981101637,0,14.0
7,1669,7,3342,3.7866386651235158,0,24.0
3,1987,3,892,1.8403029966499775,1,20.0
1,2000,3,1681,1.8960183009986302,0,17.0
6,1415,7,1113,3.2131500077499906,1,26.0
7,1051,3,1733,3.5337942884103617,0,25.0
2,1484,5,1065,4.275646087534044,1,32.0
1,1637,3,899,4.690408086515171,1,34.0
1,1208,9,1455,1.972944780569346,0,19.0
3,1466,10,3951,3.977808326667072,0,24.0
4,1218,1,2520,2.8982636557217156,1,21.0
5,1687,6,1131,1.6877359826117648,1,18.0
7,811,6,3121,4.816304918606126,1,29.0
4,1338,3,1220,4.928286665205979,0,34.0
2,1113,1,105,1.6697213203535757,1,27.0
4,1840,3,2316,4.256001774492546,1,28.0
5,1727,1,4699,2.6246767674404547,0,17.0
3,1885,10,2989,2.724430003359934,1,19.0
5,1660,6,4094,2.9298374960847813,1,19.0
7,1208,7,1963,2.437864294781766,1,19.0
3,1160,10,4657,3.677325608299459,0,22.0
6,887,3,3721,4.2221364611982715,0,26.0
1,968,2,544,1.1106207741199454,0,19.0
3,1381,1,3776,2.3327641332627826,0,16.0
4,1722,6,4795,4.957352279588164,0,29.0
6,1292,7,2449,2.8395457270885562,1,20.0
7,1532,4,2336,1.972060128101679,1,16.0
5,1041,4,1917,4.065825557641572,0,28.0
6,1142,9,1972,4.607238124253873,0,30.0
1,1921,7,1013,3.688075212457389,0,29.0
5,1661,9,314,1.3322306324435154,1,22.0
6,1813,10,1976,3.9953250772996416,0,27.0
1,1368,6,714,1.0591399868791123,0,17.0
2,838,1,2561,1.6006131709644813,0,14.0
3,872,5,1439,1.3814615611528938,0,16.0
5,1626,1,556,2.840928914172908,0,28.0
5,1130,8,1277,1.8247667179831226,1,18.0
7,1454,1,2354,2.9064236881610035,0,21.0
5,1557,5,1188,4.344331075377582,1,31.0
1,821,9,1422,1.139030157581015,0,14.0
6,1405,1,593,3.0594224465266135,1,28.0
5,823,8,1564,3.794973166411798,0,27.0
7,968,4,3476,3.038609850503121,1,20.0
6,1316,10,4120,4.163400166600946,0,25.0
1,1310,3,4589,4.810478191541117,1,28.0
7,1650,1,851,1.4634053331962917,1,19.0
3,1411,4,1912,4.146701666698542,0,28.0
2,1287,3,2315,3.4923801523191176,0,24.0
6,831,5,4107,3.621850278469255,1,23.0
4,1990,6,686,4.495879468762144,1,35.0
5,1559,3,4377,4.382130923706889,1,26.0
7,1658,8,4731,2.12230650051919,0,15.0
3,1323,8,3967,3.8370392546745227,0,24.0
1,1094,4,1709,2.703655733090801,0,21.0
3,1636,9,3125,2.5565098158808355,1,18.0
5,1025,1,2633,4.6983753538342725,0,29.0
3,1980,7,3888,4.565337092796199,1,27.0
5,1650,7,4351,2.136279405638554,0,15.0
7,1936,9,2497,1.138588480289461,1,12.0
3,982,8,1180,4.15744335619271,1,30.0
7,1369,9,2739,1.9744715911631645,0,16.0
2,978,10,2362,3.2751798012341786,0,23.0
7,1272,5,1911,2.8526293689071247,1,22.0
1,1879,9,1591,2.4120633044019137,0,20.0
1,1485,8,1237,4.31003822396041,1,31.0
3,1509,2,729,2.403976144558384,1,24.0
1,1610,7,3371,3.7320164719691715,0,24.0
2,1822,1,4315,3.994747666768401,1,24.0
7,1268,10,2661,3.421487254169169,0,23.0
6,988,2,4998,1.3517089852292012,1,11.0
2,1609,3,4798,1.6575307791325216,0,12.0
7,1592,4,850,1.0523805635882337,1,17.0
7,1278,10,5000,3.2092398857433064,1,20.0
7,821,1,731,3.2256951170567723,1,28.0
1,1099,2,3721,3.5294550962869935,1,22.0
5,1984,10,3757,4.686274275952306,1,28.0
2,948,6,2243,3.6755304968092632,1,25.0
3,1978,8,3740,2.9074011603344925,0,19.0
6,1616,7,3783,1.807861008587226,0,14.0
6,1434,9,2566,4.446651655164557,1,28.0
4,1164,9,3941,2.0129073365734764,0,15.0
7,1416,1,4042,4.63395306978936,0,28.0
3,1331,10,2630,1.5557336281414003,0,14.0
4,947,10,4423,2.576316704170067,1,17.0
6,1832,6,1844,1.6487332058012005,1,16.0
1,1796,8,2163,2.609299852147915,1,20.0
6,1241,4,4918,4.871981559241991,1,28.0
1,1177,8,105,3.189519247413517,0,35.0
1,1515,6,4838,3.518509819240959,0,22.0
3,807,6,2136,2.959523674045517,0,22.0
7,1013,3,3572,3.0782124077062356,1,20.0
5,902,7,2084,1.1761679004212606,1,13.0
2,1000,1,3235,1.1626896386886938,0,11.0
2,1406,2,3448,4.696230690645324,0,28.0
6,1413,5,2402,4.662104387638303,0,30.0
5,1204,1,2953,2.0303607277900646,1,16.0
5,1033,4,3873,2.643951866182299,0,18.0
5,1102,2,1082,4.041126852969448,0,30.0
6,1318,9,1435,1.0282081375551742,0,14.0
6,1211,7,2823,4.236437235991049,0,27.0
1,1302,6,4934,4.403591781281202,0,26.0
4,1985,3,3487,1.395916875941908,1,12.0
5,1060,10,1997,2.191595487484519,0,18.0
7,919,10,2327,1.775401333001227,0,15.0
2,1210,6,3862,3.5237312166089887,0,22.0
5,1726,9,1534,2.841905964741971,0,23.0
7,1938,1,4749,2.6240965968282657,0,17.0
6,1111,4,2011,4.680594061775256,0,31.0
5,1840,9,3846,1.6517350587977995,0,13.0
3,819,10,2318,1.5556351788308338,1,14.0
3,1587,2,2137,2.298467590845477,0,18.0
6,1929,10,4266,4.899004954066331,1,29.0
7,1082,10,3927,1.1381956477632196,0,10.0
5,1069,1,326,4.234681360723236,0,37.0
5,1851,5,2144,4.181427840665077,1,28.0
3,1981,7,4181,4.151081624702222,0,25.0
1,875,6,1624,3.578612901599886,0,26.0
1,1708,4,540,1.8708712595349617,0,23.0
